"employee_id","student_id","first_name","middle_name","last_name","email","role","department","program","year_level","contact_number","login_password"
"FAC-DEMO-0001","","Aaron","A.","Abad","faculty0001@coedigo.local","faculty","College of Engineering","BSCE","","09700000001","password"
"FAC-DEMO-0002","","Beatrice","B.","Bautista","faculty0002@coedigo.local","faculty","College of Engineering","BSEE","","09700000002","password"
"FAC-DEMO-0003","","Carlos","C.","Cabrera","faculty0003@coedigo.local","faculty","College of Engineering","BSCpE","","09700000003","password"
"FAC-DEMO-0004","","Diana","D.","Dela Cruz","faculty0004@coedigo.local","faculty","College of Engineering","BSME","","09700000004","password"
"FAC-DEMO-0005","","Edwin","E.","Espina","faculty0005@coedigo.local","faculty","College of Engineering","BSCE","","09700000005","password"
"FAC-DEMO-0006","","Fatima","F.","Flores","faculty0006@coedigo.local","faculty","College of Engineering","BSEE","","09700000006","password"
"FAC-DEMO-0007","","Gabriel","G.","Garcia","faculty0007@coedigo.local","faculty","College of Engineering","BSCpE","","09700000007","password"
"FAC-DEMO-0008","","Hannah","H.","Hernandez","faculty0008@coedigo.local","faculty","College of Engineering","BSME","","09700000008","password"
"FAC-DEMO-0009","","Ivan","I.","Ilagan","faculty0009@coedigo.local","faculty","College of Engineering","BSCE","","09700000009","password"
"FAC-DEMO-0010","","Jasmine","J.","Javier","faculty0010@coedigo.local","faculty","College of Engineering","BSEE","","09700000010","password"
"FAC-DEMO-0011","","Kenneth","A.","Lim","faculty0011@coedigo.local","faculty","College of Engineering","BSCpE","","09700000011","password"
"FAC-DEMO-0012","","Lara","B.","Mendoza","faculty0012@coedigo.local","faculty","College of Engineering","BSME","","09700000012","password"
"FAC-DEMO-0013","","Miguel","C.","Navarro","faculty0013@coedigo.local","faculty","College of Engineering","BSCE","","09700000013","password"
"FAC-DEMO-0014","","Nina","D.","Ocampo","faculty0014@coedigo.local","faculty","College of Engineering","BSEE","","09700000014","password"
"FAC-DEMO-0015","","Oscar","E.","Pascual","faculty0015@coedigo.local","faculty","College of Engineering","BSCpE","","09700000015","password"
"FAC-DEMO-0016","","Patricia","F.","Quinto","faculty0016@coedigo.local","faculty","College of Engineering","BSME","","09700000016","password"
"FAC-DEMO-0017","","Rafael","G.","Reyes","faculty0017@coedigo.local","faculty","College of Engineering","BSCE","","09700000017","password"
"FAC-DEMO-0018","","Sofia","H.","Santos","faculty0018@coedigo.local","faculty","College of Engineering","BSEE","","09700000018","password"
"FAC-DEMO-0019","","Tristan","I.","Torres","faculty0019@coedigo.local","faculty","College of Engineering","BSCpE","","09700000019","password"
"FAC-DEMO-0020","","Yasmin","J.","Uy","faculty0020@coedigo.local","faculty","College of Engineering","BSME","","09700000020","password"
"FAC-DEMO-0021","","Aaron","A.","Valdez","faculty0021@coedigo.local","faculty","College of Engineering","BSCE","","09700000021","password"
"FAC-DEMO-0022","","Beatrice","B.","Yap","faculty0022@coedigo.local","faculty","College of Engineering","BSEE","","09700000022","password"
"FAC-DEMO-0023","","Carlos","C.","Zamora","faculty0023@coedigo.local","faculty","College of Engineering","BSCpE","","09700000023","password"
"FAC-DEMO-0024","","Diana","D.","Villanueva","faculty0024@coedigo.local","faculty","College of Engineering","BSME","","09700000024","password"
"FAC-DEMO-0025","","Edwin","E.","Abad","faculty0025@coedigo.local","faculty","College of Engineering","BSCE","","09700000025","password"
"FAC-DEMO-0026","","Fatima","F.","Bautista","faculty0026@coedigo.local","faculty","College of Engineering","BSEE","","09700000026","password"
"FAC-DEMO-0027","","Gabriel","G.","Cabrera","faculty0027@coedigo.local","faculty","College of Engineering","BSCpE","","09700000027","password"
"FAC-DEMO-0028","","Hannah","H.","Dela Cruz","faculty0028@coedigo.local","faculty","College of Engineering","BSME","","09700000028","password"
"FAC-DEMO-0029","","Ivan","I.","Espina","faculty0029@coedigo.local","faculty","College of Engineering","BSCE","","09700000029","password"
"FAC-DEMO-0030","","Jasmine","J.","Flores","faculty0030@coedigo.local","faculty","College of Engineering","BSEE","","09700000030","password"
"FAC-DEMO-0031","","Kenneth","A.","Garcia","faculty0031@coedigo.local","faculty","College of Engineering","BSCpE","","09700000031","password"
"FAC-DEMO-0032","","Lara","B.","Hernandez","faculty0032@coedigo.local","faculty","College of Engineering","BSME","","09700000032","password"
"FAC-DEMO-0033","","Miguel","C.","Ilagan","faculty0033@coedigo.local","faculty","College of Engineering","BSCE","","09700000033","password"
"FAC-DEMO-0034","","Nina","D.","Javier","faculty0034@coedigo.local","faculty","College of Engineering","BSEE","","09700000034","password"
"FAC-DEMO-0035","","Oscar","E.","Lim","faculty0035@coedigo.local","faculty","College of Engineering","BSCpE","","09700000035","password"
"FAC-DEMO-0036","","Patricia","F.","Mendoza","faculty0036@coedigo.local","faculty","College of Engineering","BSME","","09700000036","password"
